,Team,RPI
0,Duke,0.6724
1,Louisville,0.6610
2,Kansas,0.6477
3,Florida,0.6399
4,Michigan State,0.6369
5,Georgetown,0.6350
6,Marquette,0.6282
7,Arizona,0.6247
8,North Carolina,0.6185
9,Belmont,0.6181
10,Michigan,0.6176
11,UNLV,0.6124
12,Creighton,0.6091
13,Oklahoma State,0.6085
14,St. Mary's,0.6048
15,Southern Miss,0.6039
16,North Carolina State,0.6023
17,Notre Dame,0.5981
18,Wichita State,0.5960
19,Oklahoma,0.5946
20,Temple,0.5912
21,Pittsburgh,0.5904
22,Iowa State,0.5903
23,Oregon,0.5898
24,Connecticut,0.5872
25,Bucknell,0.5817
26,Louisiana Tech,0.5775
27,New Mexico State,0.5768
28,Kentucky,0.5735
29,Tennessee,0.5688
30,Davidson,0.5653
31,Brigham Young,0.5613
32,Denver,0.5602
33,Ohio,0.5590
34,Eastern Kentucky,0.5585
35,Maryland,0.5576
36,Wyoming,0.5565
37,North Dakota State,0.5555
38,Stanford,0.5546
39,Air Force,0.5532
40,Iowa,0.5525
41,Northern Iowa,0.5511
42,Weber State,0.5493
43,Xavier,0.5470
44,Arizona State,0.5463
45,Richmond,0.5449
46,Florida Gulf Coast,0.5444
47,Texas-El Paso,0.5436
48,Pacific,0.5407
49,Loyola-Maryland,0.5406
50,Texas A&M;,0.5389
51,Nebraska,0.5378
52,Tennessee State,0.5353
53,Lehigh,0.5330
54,Utah State,0.5311
55,Florida International,0.5288
56,Boston College,0.5288
57,Long Beach State,0.5285
58,Murray State,0.5283
59,Southern California,0.5263
60,Mount St. Mary's,0.5241
61,Niagara,0.5229
62,Princeton,0.5223
63,Wagner,0.5211
64,Western Michigan,0.5203
65,Albany,0.5201
66,College of Charleston,0.5193
67,Fresno State,0.5191
68,Mercer,0.5185
69,St. Bonaventure,0.5173
70,Delaware,0.5155
71,George Washington,0.5138
72,UAB,0.5130
73,West Virginia,0.5122
74,Georgia Tech,0.5112
75,Oral Roberts,0.5110
76,Lafayette,0.5104
77,North Carolina Central,0.5101
78,Towson,0.5098
79,Northeastern,0.5084
80,Utah,0.5081
81,Arkansas State,0.5075
82,San Diego,0.5061
83,San Francisco,0.5031
84,Illinois-Chicago,0.4999
85,Arkansas-Little Rock,0.4986
86,Nevada,0.4980
87,Fairfield,0.4976
88,Elon,0.4951
89,LIU-Brooklyn,0.4947
90,Oregon State,0.4942
91,Manhattan,0.4921
92,Clemson,0.4908
93,Hartford,0.4896
94,Washington State,0.4873
95,Bradley,0.4856
96,Southern Illinois,0.4855
97,Gardner-Webb,0.4843
98,Houston,0.4804
99,Cleveland State,0.4791
100,Rhode Island,0.4783
101,Missouri State,0.4758
102,Army,0.4754
103,St. Francis (N.Y.),0.4732
104,Georgia State,0.4713
105,Loyola Marymount,0.4703
106,North Carolina A&T;,0.4692
107,NC-Asheville,0.4676
108,Buffalo,0.4669
109,Southern Methodist,0.4660
110,Louisiana-Lafayette,0.4656
111,Sam Houston State,0.4649
112,North Dakota,0.4646
113,South Carolina,0.4634
114,North Florida,0.4630
115,Mississippi State,0.4618
116,Ball State,0.4590
117,Morgan State,0.4571
118,Cal State Bakersfield,0.4561
119,Eastern Michigan,0.4557
120,South Dakota,0.4550
121,Tennessee Tech,0.4538
122,Santa Barbara,0.4517
123,North Texas,0.4500
124,High Point,0.4496
125,Holy Cross,0.4495
126,Sacred Heart,0.4494
127,Northern Arizona,0.4457
128,Northern Colorado,0.4454
129,Coastal Carolina,0.4443
130,San Jose State,0.4438
131,Appalachian State,0.4427
132,Maine,0.4417
133,Winthrop,0.4415
134,Delaware State,0.4414
135,Northern Kentucky,0.4410
136,Columbia,0.4392
137,E. Tennessee State,0.4386
138,American,0.4370
