,Year,id,Tov per Poss,EFG,Off Reb %,FTM per FGA,Oscar score
0,2009,1329,0.16928158546655656,0.5358606557377049,0.2836456558773424,0.29969262295081966,0.496258983177322
1,2009,1328,0.1947648624667258,0.5504201680672269,0.3660377358490566,0.3187675070028011,0.5339121636800754
2,2009,1459,0.2088030059044552,0.5110533159947984,0.37154554759467756,0.2672301690507152,0.41802505057991285
3,2009,1458,0.1686358754027927,0.5060279187817259,0.32343584305408274,0.25444162436548223,0.4731866103292611
4,2003,1219,0.2291557420031463,0.49177090190915074,0.3403582718651212,0.23436471362738645,0.3689091539737551
5,2003,1218,0.21392785571142284,0.5021984924623115,0.34796238244514105,0.2675879396984925,0.4451714381519321
6,2003,1217,0.23404255319148937,0.49288486416558863,0.3421588594704684,0.2018111254851229,0.4042314297198181
7,2003,1216,0.21177741761210156,0.46166134185303515,0.3784046692607004,0.23067092651757187,0.4009407486705743
8,2009,1451,0.2136317395727365,0.5555555555555556,0.23770491803278687,0.30296756383712903,0.402296182085645
9,2003,1214,0.24560592044403332,0.507168458781362,0.36087369420702753,0.26642771804062126,0.3881158427464982
10,2009,1325,0.2170212765957447,0.4975520195838433,0.2897560975609756,0.2747858017135863,0.4075491298436826
11,2003,1212,0.2128157156220767,0.47254004576659037,0.2850510677808728,0.19393592677345536,0.3392487061092784
12,2003,1211,0.20669110907424382,0.5346131471785922,0.3623898139079334,0.3205351948807446,0.4832848185172595
13,2003,1210,0.21008403361344538,0.4935103244837758,0.3782483156881617,0.23657817109144544,0.48261061874349254
14,2009,1326,0.20763131813676908,0.5510269576379975,0.2842920353982301,0.26765083440308085,0.49136581735551954
15,2012,1319,0.22473771397018222,0.4423076923076923,0.31496881496881496,0.20917678812415655,0.3471627714811115
16,2013,1200,0.2261072261072261,0.4492997198879552,0.3586206896551724,0.22016806722689075,0.4428775743467945
17,2003,1459,0.20134228187919462,0.5103127079174984,0.3253536452665941,0.20359281437125748,0.3887212025960736
18,2003,1458,0.1647757968665586,0.5223928342930262,0.32219827586206895,0.2674344209852847,0.45412824032444765
19,2003,1108,0.24766165107767385,0.46904024767801855,0.3560855263157895,0.23839009287925697,0.3819734971878529
20,2009,1320,0.18342911877394635,0.5195360195360196,0.28714859437751006,0.3247863247863248,0.4539402330851624
21,2003,1451,0.18362156663275686,0.5234833659491194,0.3225806451612903,0.3568166992824527,0.4343675409524407
22,2003,1102,0.20565552699228792,0.579443447037702,0.17180616740088106,0.2800718132854578,0.42000562075849956
23,2003,1453,0.2177376526818906,0.47818902842035693,0.36803364879074657,0.3007270323859881,0.44651249795428666
24,2003,1452,0.19651995905834185,0.5145846544071021,0.2595656670113754,0.19911223842739378,0.4111639304326804
25,2003,1107,0.18342886920270973,0.4872591671845867,0.23356926188068755,0.17277812305779988,0.3276640491467662
26,2003,1106,0.24960753532182103,0.47900516795865633,0.354639175257732,0.1925064599483204,0.37364341551943964
27,2003,1457,0.21014864172219375,0.4949238578680203,0.33565737051792827,0.2436548223350254,0.36149128788888885
28,2003,1104,0.19724284199363734,0.4759525296689569,0.3747534516765286,0.2598376014990631,0.48532977528333443
29,2010,1271,0.22866572371522867,0.44802555168408825,0.34192439862542956,0.23344947735191637,0.3480445883424481
30,2010,1270,0.21342134213421343,0.4764971023824855,0.3668032786885246,0.19381841596909208,0.35914738641702376
31,2010,1273,0.21312217194570135,0.5159976730657359,0.34205607476635513,0.3158813263525305,0.42443988472361893
32,2009,1322,0.2480149462867819,0.43254198031268093,0.37415540540540543,0.24898668210770122,0.37178709260325377
33,2010,1275,0.20611835506519557,0.5003188775510204,0.28338430173292556,0.27232142857142855,0.44226971511023905
34,2010,1274,0.20759962928637626,0.5265108323831242,0.34619002822201317,0.24800456100342075,0.45571777836243665
